img,label
CamVid/701_StillsRaw_full/0001TP_006930.png,CamVid/Labeled_idx/0001TP_006930_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08001.png,CamVid/Labeled_idx/0016E5_08001_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f01290.png,CamVid/Labeled_idx/0006R0_f01290_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04830.png,CamVid/Labeled_idx/Seq05VD_f04830_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08109.png,CamVid/Labeled_idx/0016E5_08109_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f02460.png,CamVid/Labeled_idx/0006R0_f02460_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008340.png,CamVid/Labeled_idx/0001TP_008340_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f00780.png,CamVid/Labeled_idx/Seq05VD_f00780_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f01470.png,CamVid/Labeled_idx/0006R0_f01470_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f03900.png,CamVid/Labeled_idx/0006R0_f03900_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08065.png,CamVid/Labeled_idx/0016E5_08065_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009660.png,CamVid/Labeled_idx/0001TP_009660_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008220.png,CamVid/Labeled_idx/0001TP_008220_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009390.png,CamVid/Labeled_idx/0001TP_009390_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04770.png,CamVid/Labeled_idx/Seq05VD_f04770_L.png.npy
CamVid/701_StillsRaw_full/0016E5_07991.png,CamVid/Labeled_idx/0016E5_07991_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08190.png,CamVid/Labeled_idx/0016E5_08190_L.png.npy
CamVid/701_StillsRaw_full/0001TP_010230.png,CamVid/Labeled_idx/0001TP_010230_L.png.npy
CamVid/701_StillsRaw_full/0016E5_04470.png,CamVid/Labeled_idx/0016E5_04470_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f03780.png,CamVid/Labeled_idx/Seq05VD_f03780_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f00960.png,CamVid/Labeled_idx/0006R0_f00960_L.png.npy
CamVid/701_StillsRaw_full/0016E5_00630.png,CamVid/Labeled_idx/0016E5_00630_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f02100.png,CamVid/Labeled_idx/Seq05VD_f02100_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008370.png,CamVid/Labeled_idx/0001TP_008370_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f02430.png,CamVid/Labeled_idx/0006R0_f02430_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007650.png,CamVid/Labeled_idx/0001TP_007650_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f03330.png,CamVid/Labeled_idx/Seq05VD_f03330_L.png.npy
CamVid/701_StillsRaw_full/0016E5_01530.png,CamVid/Labeled_idx/0016E5_01530_L.png.npy
CamVid/701_StillsRaw_full/0016E5_04590.png,CamVid/Labeled_idx/0016E5_04590_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08610.png,CamVid/Labeled_idx/0016E5_08610_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f01320.png,CamVid/Labeled_idx/Seq05VD_f01320_L.png.npy
CamVid/701_StillsRaw_full/0001TP_010260.png,CamVid/Labeled_idx/0001TP_010260_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f03240.png,CamVid/Labeled_idx/0006R0_f03240_L.png.npy
CamVid/701_StillsRaw_full/0016E5_02100.png,CamVid/Labeled_idx/0016E5_02100_L.png.npy
CamVid/701_StillsRaw_full/0016E5_07975.png,CamVid/Labeled_idx/0016E5_07975_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f02910.png,CamVid/Labeled_idx/0006R0_f02910_L.png.npy
CamVid/701_StillsRaw_full/0016E5_06060.png,CamVid/Labeled_idx/0016E5_06060_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009540.png,CamVid/Labeled_idx/0001TP_009540_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f03390.png,CamVid/Labeled_idx/Seq05VD_f03390_L.png.npy
CamVid/701_StillsRaw_full/0016E5_00990.png,CamVid/Labeled_idx/0016E5_00990_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f00150.png,CamVid/Labeled_idx/Seq05VD_f00150_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08089.png,CamVid/Labeled_idx/0016E5_08089_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f01860.png,CamVid/Labeled_idx/Seq05VD_f01860_L.png.npy
CamVid/701_StillsRaw_full/0016E5_00870.png,CamVid/Labeled_idx/0016E5_00870_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008430.png,CamVid/Labeled_idx/0001TP_008430_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f01470.png,CamVid/Labeled_idx/Seq05VD_f01470_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04410.png,CamVid/Labeled_idx/Seq05VD_f04410_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f03750.png,CamVid/Labeled_idx/0006R0_f03750_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f02370.png,CamVid/Labeled_idx/Seq05VD_f02370_L.png.npy
